tconst,nconst,category
tt0054295,nm0384787,actor
tt0054295,nm0073217,actor
tt0054295,nm0368871,director
tt0054296,nm0001559,actor
tt0054296,nm0837959,actor
tt0054296,nm0829067,actress
tt0054296,nm0570615,actor
tt0054296,nm0864851,actor
tt0054296,nm0275997,actress
tt0054296,nm0528373,actor
tt0054296,nm0516148,actress
tt0054296,nm0709094,actor
tt0054296,nm0171896,actor
tt0054296,nm0445650,director
tt0054310,nm0603336,actor
tt0054310,nm0944073,actress
tt0054310,nm0617846,actor
tt0054310,nm0619802,actor
tt0054310,nm0444584,actor
tt0054310,nm0826749,actor
tt0054310,nm0394588,actor
tt0054310,nm0219062,actor
tt0054310,nm0328982,actor
tt0054310,nm0460874,actor
tt0054310,nm0318150,director
tt0054331,nm0000018,actor
tt0054331,nm0000059,actor
tt0054331,nm0001739,actress
tt0054331,nm0001452,actor
tt0054331,nm0001811,actor
tt0054331,nm0001260,actor
tt0054331,nm0001225,actress
tt0054331,nm0409869,actor
tt0054331,nm0007042,actor
tt0054331,nm0197982,actor
tt0054331,nm0000040,director
tt0054343,nm0249086,actress
tt0054343,nm0926183,actor
tt0054343,nm0874502,actor
tt0054343,nm0939931,actress
tt0054343,nm0511798,actress
tt0054343,nm0607504,actor
tt0054343,nm0203076,actor
tt0054343,nm0871876,actor
tt0054343,nm0291829,actor
tt0054343,nm0297249,actor
tt0054343,nm0467396,director
tt0054345,nm0000018,actor
tt0054345,nm0001571,actress
tt0054345,nm0468237,actor
tt0054345,nm0750640,actress
tt0054345,nm0000527,actor
tt0054345,nm0115597,actress
tt0054345,nm0808949,actor
tt0054345,nm0302387,actress
tt0054345,nm0117136,actor
tt0054345,nm0794956,actress
tt0054345,nm0703689,director
tt0054354,nm0000897,actor
tt0054354,nm0002093,actress
tt0054354,nm0002025,actor
tt0054354,nm0353405,actress
tt0054354,nm0794700,actress
tt0054354,nm0120326,actor
tt0054354,nm0175919,actor
tt0054354,nm0079203,actress
tt0054354,nm0272432,actor
tt0054354,nm0167100,actor
tt0054354,nm0232401,director
tt0054357,nm0590055,actor
tt0054357,nm0570192,actress
tt0054357,nm0531279,actor
tt0054357,nm0613130,actress
tt0054357,nm0370564,actor
tt0054357,nm0456565,actor
tt0054357,nm0002019,actor
tt0054357,nm0662116,actor
tt0054357,nm0387270,actor
tt0054357,nm0717374,actor
tt0054357,nm0002175,director
tt0054367,nm0000578,actor
tt0054367,nm0000404,actress
tt0054367,nm0001827,actor
tt0054367,nm0175091,actor
tt0054367,nm0413271,actress
tt0054367,nm0358069,actor
tt0054367,nm0942245,actor
tt0054367,nm0122576,actor
tt0054367,nm0525523,actor
tt0054367,nm0666201,actress
tt0054367,nm0517597,director
tt0054377,nm0036734,actress
tt0054377,nm0000805,actress
tt0054377,nm0002198,actor
tt0054377,nm0098393,actress
tt0054377,nm0000989,actor
tt0054377,nm0143018,actress
tt0054377,nm0160532,actress
tt0054377,nm0971400,actress
tt0054377,nm0183671,actress
tt0054377,nm0168413,director
tt0054387,nm0001792,actor
